id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,city,neighbourhood_cleansed,has_price,price_capped,rental_type,price_tier
42306521,Very central two bedroom apartment with balcony,62369587,Otto,Centrum-West,52.37528,4.89099,Entire home/apt,114.0,2.0,11,0.51,1,8,Amsterdam,,True,114.0,Short-term,Budget
1172907190736011386,Belly Hop Canal View Room,402176281,David,Centrum-West,52.37926,4.89287,Private room,182.0,2.0,54,3.63,3,24,Amsterdam,,True,182.0,Short-term,Mid-range
28892595,"Cosy small Family Apartment.
Centre of Amsterdam.",43990861,Elsbeth,De Baarsjes - Oud-West,52.36378,4.87687,Entire home/apt,250.0,3.0,44,0.52,1,74,Amsterdam,,True,250.0,Short-term,Mid-range
1320797562187800426,WesterparkView,668525609,Clyde,Westerpark,52.38523,4.87049,Private room,230.0,1.0,2,0.24,1,362,Amsterdam,,True,230.0,Short-term,Mid-range
976110507557538482,Rustig appartement in bruisend centrum met balkon,366328211,Zhu Yi,Centrum-West,52.381818,4.8845092,Entire home/apt,,3.0,5,0.21,1,0,Amsterdam,,False,,Short-term,Unknown
909309984645400586,Bright and Comfortable Apartment in Amsterdam,157740405,Nick,De Baarsjes - Oud-West,52.37290815700834,4.86034219012723,Entire home/apt,162.0,3.0,12,0.47,1,32,Amsterdam,,True,162.0,Short-term,Budget
37378443,Duplex + rooftop /  Westerpark,47158198,Adelle,Westerpark,52.38308,4.87543,Entire home/apt,,5.0,19,0.27,1,0,Amsterdam,,False,,Short-term,Unknown
27803193,"Chess Suite, Amsterdam City Centre",209869716,Rintje,Centrum-West,52.37027,4.89509,Private room,111.0,1.0,404,4.72,2,334,Amsterdam,,True,111.0,Short-term,Budget
1390694506449734704,Live like an Amsterdam local!,13982250,Johannes,De Baarsjes - Oud-West,52.37122129999999,4.8591277,Entire home/apt,156.0,3.0,1,0.59,1,290,Amsterdam,,True,156.0,Short-term,Budget
33386604,Lovely stylish house in North,92847102,Joel,Oud-Noord,52.39559,4.9161,Entire home/apt,158.0,3.0,7,0.59,1,248,Amsterdam,,True,158.0,Short-term,Budget
1458503284240685629,Bright Home near Central Station,394395312,Leonie,Oud-Noord,52.38231,4.91151,Entire home/apt,161.0,12.0,0,,1,19,Amsterdam,,True,161.0,Weekly+,Budget
771760449191416378,Bright Canal View Amsterdam Apartment,13775912,Lorenzo,De Baarsjes - Oud-West,52.368887192822285,4.875552915036678,Entire home/apt,,5.0,6,0.18,1,0,Amsterdam,,False,,Short-term,Unknown
899201490344052097,Cozy & Bright Jordaan 2-Story+Terrace | Anne Frank,21437323,Miroslav,Centrum-West,52.37424,4.87767,Entire home/apt,457.0,3.0,4,0.17,1,25,Amsterdam,,True,457.0,Short-term,Luxury
28994956,Beautiful House | 8min. to city center,38486477,Saskia,Noord-Oost,52.40623,4.93045,Entire home/apt,,3.0,6,0.08,1,0,Amsterdam,,False,,Short-term,Unknown
